village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Senapati Rural,Manipur,2023-01-01,WS_35473,Tube Well,23.222129,89.992152,7.38,6.0,36.0,27.0,5.7,37.6,2.43,0.05,1.23,1.07,0.019,IoT Sensor,Agency_5,1,Safe,63.0
Barpeta Village,Assam,2023-01-01,WS_94738,Pond,27.224835,92.49065,6.16,22.1,941.0,4798.0,2.5,69.9,10.83,1.29,1.92,0.88,0.033,IoT Sensor,Agency_5,0,High,
Pasighat Rural,Arunachal Pradesh,2023-01-01,WS_87826,Tube Well,27.631582,94.994018,5.04,35.9,113.0,4409.0,2.0,102.0,6.99,1.98,1.31,0.26,0.036,Lab Analysis,Agency_5,0,High,188.0
Pasighat Rural,Arunachal Pradesh,2023-01-01,WS_10085,Piped Supply,26.543329,95.701038,8.41,5.1,29.0,84.0,6.5,14.2,1.51,0.029,1.91,0.19,0.028,IoT Sensor,Agency_2,1,Safe,
Baghmara Rural,Meghalaya,2023-01-01,WS_79566,Piped Supply,25.17389,89.566645,7.82,2.8,3.0,20.0,5.3,22.9,1.87,0.019,1.85,0.62,0.013,Water Testing Kit,Agency_8,1,Safe,
Agartala Rural,Tripura,2023-01-01,WS_78614,River,28.528971,93.373328,8.45,7.9,19.0,91.0,6.8,23.0,1.56,0.003,1.76,0.13,0.011,IoT Sensor,Agency_5,1,Safe,
Phek Rural,Nagaland,2023-01-01,WS_12503,Tube Well,27.370781,94.244519,8.12,7.1,44.0,92.0,8.5,27.3,0.47,0.03,1.88,0.44,0.008,Lab Analysis,Agency_9,1,Safe,51.0
Khliehriat Village,Meghalaya,2023-01-02,WS_86824,Tube Well,26.331925,95.663174,6.95,1.6,24.0,80.0,6.5,4.5,2.22,0.03,0.06,0.92,0.042,Water Testing Kit,Agency_1,1,Safe,123.0
Lawngtlai Village,Mizoram,2023-01-02,WS_47380,Well,24.768795,91.812299,8.27,2.4,41.0,33.0,8.2,30.9,1.41,0.026,0.85,0.17,0.04,IoT Sensor,Agency_8,1,Safe,16.0
Jorethang Rural,Sikkim,2023-01-02,WS_40405,River,26.738372,94.897997,6.84,6.5,18.0,8.0,5.8,11.4,0.53,0.012,1.54,1.08,0.005,Lab Analysis,Agency_8,1,Safe,
