village,state,date,season,month,daily_rainfall_mm,weekly_rainfall_mm,monthly_rainfall_mm,temperature_celsius,max_temperature_celsius,min_temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction,atmospheric_pressure_hpa,solar_radiation_mj_m2,evaporation_rate_mm,flood_risk_level,drought_indicator,weather_station_id,data_source
Lawngtlai Village,Mizoram,2023-01-01,Winter,1,1.9,14.1,75.0,22.7,24.9,17.8,68.0,3.2,N,1005.0,16.6,10.5,Low,No,WS_8012,IMD
Tezpur Rural,Assam,2023-01-01,Winter,1,1.0,6.7,53.0,23.6,28.3,18.2,65.4,17.7,SW,1013.3,16.3,5.0,Low,Mild,WS_7200,Local Station
Lawngtlai Village,Mizoram,2023-01-01,Winter,1,0.2,1.3,68.0,19.3,24.4,17.3,62.9,24.3,W,1007.4,15.6,4.6,Low,No,WS_9967,Local Station
Silchar Village,Assam,2023-01-01,Winter,1,12.1,99.3,33.9,14.1,19.4,10.7,72.6,3.2,W,1001.4,16.0,6.7,Low,No,WS_6439,IMD
Namchi Village,Sikkim,2023-01-01,Winter,1,0.0,0.0,70.1,19.9,22.6,16.8,58.2,5.5,SW,1014.8,25.5,10.5,Medium,No,WS_2245,IMD
Barpeta Village,Assam,2023-01-01,Winter,1,4.1,25.7,67.3,14.4,19.5,9.8,57.6,18.5,N,1015.3,18.2,6.1,Medium,No,WS_8185,IMD
Resubelpara Rural,Meghalaya,2023-01-01,Winter,1,1.8,13.1,22.7,12.3,16.7,6.9,64.0,19.7,NW,1016.5,23.4,2.4,Medium,No,WS_9616,Satellite
Khliehriat Village,Meghalaya,2023-01-02,Winter,1,2.1,13.3,76.5,25.0,29.4,22.4,73.3,10.0,E,1004.8,22.4,9.8,Low,No,WS_2123,Local Station
Senapati Rural,Manipur,2023-01-02,Winter,1,0.9,6.8,40.9,12.9,17.8,7.2,61.8,24.2,SW,1001.1,17.3,8.3,Low,No,WS_6693,IMD
Jorhat Village,Assam,2023-01-02,Winter,1,7.1,44.4,58.5,18.6,25.0,15.5,68.2,4.5,E,1018.9,24.2,5.1,Low,No,WS_5539,IMD
