village,state,date,outbreak,outbreak_type,risk_level,risk_score,total_diarrhea_cases,total_fever_cases,total_vomiting_cases,total_affected_population,water_contaminated,flooding_occurred,high_rainfall_event,outbreak_duration_days,cases_hospitalized,cases_recovered,intervention_needed,alert_level,reported_by,verification_status
Kiphire Village,Nagaland,2023-01-01,0,None,Medium,22.7,5,1,1,8,0,0,1,0,0,0,0,Green,ASHA Worker,Verified
Baghmara Rural,Meghalaya,2023-01-01,0,None,Low,7.4,1,2,2,9,0,0,0,0,0,0,0,Green,District Health Office,Verified
Ukhrul Village,Manipur,2023-01-01,0,None,Low,9.7,2,3,1,9,0,0,0,0,0,0,0,Orange,Clinic,Verified
Tezpur Village,Arunachal Pradesh,2023-01-01,0,None,Medium,29.9,4,3,2,21,1,0,0,0,0,0,1,Orange,ASHA Worker,Verified
Ukhrul Village,Manipur,2023-01-01,0,None,Medium,15.2,4,4,1,14,0,0,0,0,0,0,0,Orange,Clinic,Verified
Baghmara Rural,Meghalaya,2023-01-01,0,None,High,32.5,5,5,0,22,1,0,0,0,0,0,1,Green,Community Leader,Verified
Dibrugarh Rural,Assam,2023-01-01,0,None,Medium,27.4,6,2,2,22,0,0,1,0,0,0,1,Yellow,ASHA Worker,Verified
Champhai Rural,Mizoram,2023-01-02,0,None,Medium,21.0,4,2,0,14,0,0,1,0,0,0,0,Yellow,Clinic,Verified
Lunglei Village,Mizoram,2023-01-02,0,None,Low,9.4,2,2,2,13,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Churachandpur Village,Manipur,2023-01-02,0,None,Medium,28.1,1,5,3,11,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Mokokchung Rural,Nagaland,2023-01-02,0,None,Medium,16.9,5,3,2,15,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Tawang Rural,Arunachal Pradesh,2023-01-02,0,None,Low,10.2,3,2,1,13,0,0,0,0,0,0,0,Green,Clinic,Verified
Nagaon Rural,Assam,2023-01-02,0,None,Low,8.6,1,2,3,12,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Karimganj Village,Assam,2023-01-02,0,None,Medium,29.3,4,1,4,11,1,0,0,0,0,0,1,Green,ASHA Worker,Verified
